1," Very helpful
 Quite fast
 Cyrus was reactive
 Rep had the right tools and empowered to help me with my nontrivial problem right away
 Human touch rather than a script
 Problem was solved 5 minutes later

This is customer service at least two sigmas ahead of the curve folks, very well done.",Delighted
2,Cassy was my contact.  She was very helpful.,Delighted
3,Fast and furious,Delighted
4,Hannah was very helpful.  Her patience and thoroughness is greatly appreciated.,Delighted
5,"Minnie answered my chat request in seconds, and immediately complied with my request.  Thanks!",Delighted
6,*thumbs up*,Delighted
7,:),Delighted
8,:),Delighted
9,:),Delighted
10,:),Delighted
11,:D,Delighted
12,:D!!!,Delighted
13,?,Delighted
14,?,Delighted
15,\Lydia was excellent!,Delighted
16,+1 ðŸ‘ðŸ¼,Delighted
17,<3,Delighted
18,=),Delighted
19,"10 Stars for Herbert.
Quick and efficient service",Delighted
20,10/10 Help,Delighted
21,10/10 service,Delighted
22,100% Fast & Efficient support,Delighted
23,3rd chat today.  everyone was STELLAR.  Couldnt be happier about the customer support received.,Delighted
24,"5 stars excellent customer service, answered my questions quickly and with a clear explanation.",Delighted
25,5 stars!,Delighted
26,5 stars!,Delighted
27,5 Stars!,Delighted
28,5 stars! Theo is Great,Delighted
29,500/500 stars.,Delighted
30,A beginners tutorial would be nice for photos,Delighted
31,A big thanks to Wilson.,Delighted
32,a bit difficult to find the chat function but once there it was good,Delighted
33,A brief delay but answered my question,Delighted
34,A call center would be most helpful.,Delighted
35,A complicated issue cleared up very quickly. Super impressed,Delighted
36,A friendly and helpful support person,Delighted
37,A good service I can recomend dropbox to my friends.,Delighted
38,A Great and very helpful customer support service!,Delighted
39,A great feature!,Delighted
40,a great friendly service. thanks so much,Delighted
41,A great help experience!,Delighted
42,A great help.,Delighted
43,a great helper.,Delighted
44,"A great instant help, thanks to Crystal",Delighted
45,A huge help and very knowledgeable,Delighted
46,A kind and helpful person!,Delighted
47,A Lifesaver!   Thanks!,Delighted
48,A lot easier than I thought it would be. Very quick. Happy,Delighted
